episode_id,scene_id,goal,reason,step
1237,00869-MHPLjHsuG27,dishwasher,not_reached_goal,276
6989,00844-q5QZSEeHe5g,exercise bike,not_reached_goal,263
3693,00823-7MXmsvcQjpJ,guitar,not_reached_goal,496
5908,00873-bxsVRursffK,refrigerator,not_reached_goal,304
3983,00823-7MXmsvcQjpJ,guitar,not_reached_goal,353
666,00802-wcojb4TFT35,picture,not_reached_goal,209
4175,00800-TEEsavR23oF,pillow,not_reached_goal,678
1054,00824-Dd4bFSTQ8gi,pillow,not_reached_goal,641
810,00824-Dd4bFSTQ8gi,flower vase,not_reached_goal,617
2188,00813-svBbv1Pavdk,flower vase,not_reached_goal,635
4548,00876-mv2HUxq3B53,shower glass,not_reached_goal,611
435,00814-p53SfW6mjZe,carpet,not_reached_goal,706
1031,00835-q3zU7Yy5E5s,pillow,not_reached_goal,480
126,00823-7MXmsvcQjpJ,picture,not_reached_goal,333
4029,00876-mv2HUxq3B53,flower vase,not_reached_goal,603
568,00843-DYehNKdT76V,mirror,not_reached_goal,669
270,00839-zt1RVoi7PcG,pillow,not_reached_goal,546
2750,00800-TEEsavR23oF,microwave,not_reached_goal,633
2119,00861-GLAQ4DNUx5U,mirror,not_reached_goal,647
3012,00862-LT9Jq6dN3Ea,stair,not_reached_goal,601
6971,00808-y9hTuugGdiq,rug,not_reached_goal,642
5583,00877-4ok3usBNeis,dishwasher,not_reached_goal,301
4434,00824-Dd4bFSTQ8gi,dishwasher,not_reached_goal,638
3448,00827-BAbdmeyTvMZ,dishwasher,path_planning_failed,405
1966,00891-cvZr5TUy5C5,stair,not_reached_goal,640
5457,00802-wcojb4TFT35,microwave,not_reached_goal,301
6448,00814-p53SfW6mjZe,bedframe,not_reached_goal,396
291,00849-a8BtkwhxdRV,mirror,not_reached_goal,365
6168,00853-5cdEh9F2hJL,plant,not_reached_goal,616
3891,00821-eF36g7L6Z9M,carpet,not_reached_goal,694
5535,00873-bxsVRursffK,refrigerator,not_reached_goal,227
5409,00808-y9hTuugGdiq,refrigerator,not_reached_goal,626
3644,00824-Dd4bFSTQ8gi,refrigerator,not_reached_goal,690
3195,00810-CrMo8WxCyVb,microwave,not_reached_goal,559
934,00890-6s7QHgap2fW,plant,not_reached_goal,714
4328,00814-p53SfW6mjZe,microwave,not_reached_goal,175
614,00835-q3zU7Yy5E5s,picture,not_reached_goal,445
1723,00821-eF36g7L6Z9M,pillow,not_reached_goal,638
1190,00815-h1zeeAwLh9Z,pillow,not_reached_goal,646
3078,00873-bxsVRursffK,pillow,not_reached_goal,391
1753,00831-yr17PDCnDDW,vase,not_reached_goal,636
