episode_id,scene_id,goal,reason,step
2644,00824-Dd4bFSTQ8gi,flowerpot,not_reached_goal,601
1237,00869-MHPLjHsuG27,dishwasher,path_planning_failed,196
6989,00844-q5QZSEeHe5g,exercise bike,path_planning_failed,227
3693,00823-7MXmsvcQjpJ,guitar,path_planning_failed,365
458,00873-bxsVRursffK,hanging clothes,path_planning_failed,420
5908,00873-bxsVRursffK,refrigerator,path_planning_failed,292
3983,00823-7MXmsvcQjpJ,guitar,path_planning_failed,333
1891,00839-zt1RVoi7PcG,picture,not_reached_goal,609
666,00802-wcojb4TFT35,picture,path_planning_failed,337
4175,00800-TEEsavR23oF,pillow,path_planning_failed,460
1054,00824-Dd4bFSTQ8gi,pillow,not_reached_goal,641
2188,00813-svBbv1Pavdk,flower vase,not_reached_goal,611
435,00814-p53SfW6mjZe,carpet,path_planning_failed,555
1031,00835-q3zU7Yy5E5s,pillow,empty_goto_sequence,171
126,00848-ziup5kvtCCR,mirror,not_reached_goal,603
4029,00876-mv2HUxq3B53,flower vase,not_reached_goal,613
568,00843-DYehNKdT76V,mirror,path_planning_failed,433
270,00839-zt1RVoi7PcG,pillow,path_planning_failed,445
2750,00800-TEEsavR23oF,microwave,path_planning_failed,545
2119,00861-GLAQ4DNUx5U,mirror,not_reached_goal,628
3012,00862-LT9Jq6dN3Ea,stair,path_planning_failed,483
6971,00808-y9hTuugGdiq,rug,path_planning_failed,507
5583,00877-4ok3usBNeis,dishwasher,path_planning_failed,340
4434,00824-Dd4bFSTQ8gi,dishwasher,not_reached_goal,627
3448,00827-BAbdmeyTvMZ,dishwasher,path_planning_failed,402
122,00829-QaLdnwvtxbs,ottoman,not_reached_goal,666
2665,00832-qyAac8rV8Zk,dishwasher,path_planning_failed,332
6168,00853-5cdEh9F2hJL,plant,not_reached_goal,603
3891,00821-eF36g7L6Z9M,carpet,not_reached_goal,687
5535,00873-bxsVRursffK,refrigerator,path_planning_failed,269
5409,00808-y9hTuugGdiq,refrigerator,path_planning_failed,483
3644,00824-Dd4bFSTQ8gi,refrigerator,not_reached_goal,622
4328,00814-p53SfW6mjZe,microwave,path_planning_failed,155
614,00835-q3zU7Yy5E5s,picture,empty_goto_sequence,88
1723,00821-eF36g7L6Z9M,pillow,not_reached_goal,604
1190,00815-h1zeeAwLh9Z,pillow,path_planning_failed,456
2294,00827-BAbdmeyTvMZ,hanging clothes,path_planning_failed,283
3078,00873-bxsVRursffK,pillow,path_planning_failed,387
1753,00831-yr17PDCnDDW,vase,path_planning_failed,592
