episode_id,scene_id,goal,reason,step
2644,00824-Dd4bFSTQ8gi,flowerpot,empty_output_all_steps,24
1237,00869-MHPLjHsuG27,dishwasher,empty_output_all_steps,6
6989,00844-q5QZSEeHe5g,exercise bike,empty_output_all_steps,8
3693,00823-7MXmsvcQjpJ,guitar,empty_output_all_steps,12
458,00873-bxsVRursffK,hanging clothes,empty_output_all_steps,12
5908,00873-bxsVRursffK,refrigerator,empty_output_all_steps,8
3983,00823-7MXmsvcQjpJ,guitar,empty_output_all_steps,12
1891,00839-zt1RVoi7PcG,picture,empty_output_all_steps,8
666,00802-wcojb4TFT35,picture,empty_output_all_steps,6
4175,00800-TEEsavR23oF,pillow,empty_output_all_steps,12
1054,00824-Dd4bFSTQ8gi,pillow,empty_output_all_steps,5
810,00824-Dd4bFSTQ8gi,flower vase,empty_output_all_steps,5
2188,00813-svBbv1Pavdk,flower vase,empty_output_all_steps,4
4548,00876-mv2HUxq3B53,shower glass,empty_output_all_steps,4
435,00814-p53SfW6mjZe,carpet,empty_output_all_steps,4
1031,00835-q3zU7Yy5E5s,pillow,empty_output_all_steps,4
126,00823-7MXmsvcQjpJ,picture,empty_output_all_steps,10
4029,00876-mv2HUxq3B53,flower vase,empty_output_all_steps,5
568,00843-DYehNKdT76V,mirror,empty_output_all_steps,4
2096,00803-k1cupFYWXJ6,stair,empty_output_all_steps,5
270,00839-zt1RVoi7PcG,pillow,empty_output_all_steps,4
2750,00800-TEEsavR23oF,microwave,empty_output_all_steps,3
2119,00861-GLAQ4DNUx5U,mirror,empty_output_all_steps,4
3012,00862-LT9Jq6dN3Ea,stair,empty_output_all_steps,4
6971,00808-y9hTuugGdiq,rug,empty_output_all_steps,4
5583,00877-4ok3usBNeis,dishwasher,empty_output_all_steps,5
3710,00844-q5QZSEeHe5g,rug,empty_output_all_steps,3
4434,00824-Dd4bFSTQ8gi,dishwasher,empty_output_all_steps,4
3448,00827-BAbdmeyTvMZ,dishwasher,empty_output_all_steps,4
1966,00891-cvZr5TUy5C5,stair,empty_output_all_steps,5
122,00829-QaLdnwvtxbs,ottoman,empty_output_all_steps,5
5457,00802-wcojb4TFT35,microwave,empty_output_all_steps,4
2665,00832-qyAac8rV8Zk,dishwasher,empty_output_all_steps,5
6448,00814-p53SfW6mjZe,bedframe,empty_output_all_steps,4
291,00849-a8BtkwhxdRV,mirror,empty_output_all_steps,5
6168,00853-5cdEh9F2hJL,plant,empty_output_all_steps,6
3891,00821-eF36g7L6Z9M,carpet,empty_output_all_steps,5
5535,00873-bxsVRursffK,refrigerator,empty_output_all_steps,5
5409,00808-y9hTuugGdiq,refrigerator,empty_output_all_steps,5
3644,00824-Dd4bFSTQ8gi,refrigerator,empty_output_all_steps,4
3195,00810-CrMo8WxCyVb,microwave,empty_output_all_steps,4
934,00890-6s7QHgap2fW,plant,empty_output_all_steps,5
4328,00814-p53SfW6mjZe,microwave,empty_output_all_steps,6
614,00835-q3zU7Yy5E5s,picture,empty_output_all_steps,4
1723,00821-eF36g7L6Z9M,pillow,empty_output_all_steps,3
1190,00815-h1zeeAwLh9Z,pillow,empty_output_all_steps,4
2294,00827-BAbdmeyTvMZ,hanging clothes,empty_output_all_steps,5
3078,00873-bxsVRursffK,pillow,empty_output_all_steps,6
1753,00831-yr17PDCnDDW,vase,empty_output_all_steps,5
